               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.067128,            0.028616,            0.033544,             0.24628,              0.4044,             0.24068,             0.11131,            0.033175,            0.011966,            0.022385,            0.070229,           0.0033079,           0.0033079
                   1,            0.048007,            0.023295,            0.027951,             0.32165,             0.53264,             0.32076,             0.15714,            0.028192,           0.0091915,            0.016312,            0.040098,           0.0065097,           0.0065097
                   2,            0.044225,             0.02099,            0.022024,             0.33033,             0.40628,             0.29616,             0.13452,            0.036311,           0.0087924,            0.021192,            0.009834,           0.0095796,           0.0095796
                   3,            0.042593,            0.021511,            0.019737,             0.49877,             0.52891,             0.48872,             0.24048,            0.025216,           0.0089499,            0.012634,            0.009406,            0.009406,            0.009406
                   4,            0.037499,             0.02124,            0.019535,             0.39355,              0.5749,             0.44018,              0.1978,            0.026613,            0.010164,            0.013047,            0.009406,            0.009406,            0.009406
                   5,            0.039054,            0.021428,            0.020635,             0.51635,             0.53805,             0.52494,             0.26104,            0.023985,            0.009311,            0.013314,            0.009208,            0.009208,            0.009208
                   6,            0.037895,            0.021671,            0.019074,             0.47176,             0.51768,              0.4619,             0.21597,            0.025156,           0.0096358,            0.015441,             0.00901,             0.00901,             0.00901
                   7,            0.035673,            0.021929,            0.018462,              0.5148,             0.50556,             0.47948,             0.22512,            0.024953,            0.008721,            0.013153,            0.008812,            0.008812,            0.008812
                   8,            0.034342,            0.021029,            0.017458,             0.59906,             0.57281,             0.58953,              0.2852,            0.024045,           0.0089544,            0.010062,            0.008614,            0.008614,            0.008614
                   9,            0.035456,            0.021351,             0.01803,             0.48569,             0.52824,             0.47116,             0.21987,            0.024026,           0.0093831,            0.014062,            0.008416,            0.008416,            0.008416
                  10,            0.033348,             0.02129,            0.017554,              0.6747,             0.67548,             0.68076,             0.36181,            0.020471,           0.0084887,           0.0082152,            0.008218,            0.008218,            0.008218
                  11,            0.032058,            0.021093,            0.017763,             0.59562,             0.71526,             0.66103,             0.34812,            0.020498,           0.0081417,           0.0086186,             0.00802,             0.00802,             0.00802
                  12,            0.033814,            0.020793,            0.016924,             0.61309,             0.67037,             0.68359,             0.36192,            0.023694,            0.008171,           0.0086988,            0.007822,            0.007822,            0.007822
                  13,            0.032951,            0.020621,            0.016049,             0.67474,             0.70099,             0.71528,             0.40614,            0.020276,            0.007985,           0.0082582,            0.007624,            0.007624,            0.007624
                  14,            0.031789,            0.019859,            0.015112,             0.62977,             0.71026,             0.70782,             0.39744,            0.019454,           0.0078114,           0.0084967,            0.007426,            0.007426,            0.007426
                  15,            0.030801,            0.019751,             0.01501,             0.67709,             0.69425,              0.7171,             0.39779,            0.021291,           0.0081337,           0.0079273,            0.007228,            0.007228,            0.007228
                  16,            0.030156,            0.020138,            0.013648,             0.68426,             0.67697,             0.72698,             0.40088,            0.019707,           0.0082291,           0.0074249,             0.00703,             0.00703,             0.00703
                  17,            0.031397,            0.019672,            0.013274,              0.6134,             0.69408,             0.67949,             0.38204,             0.01993,           0.0079119,           0.0097423,            0.006832,            0.006832,            0.006832
                  18,            0.027868,            0.019329,            0.012313,             0.63996,             0.68179,             0.67075,             0.37947,              0.0198,           0.0080915,           0.0085071,            0.006634,            0.006634,            0.006634
                  19,            0.030426,            0.019482,             0.01418,             0.70921,             0.73973,             0.78036,             0.46382,            0.018981,           0.0076857,           0.0070832,            0.006436,            0.006436,            0.006436
                  20,            0.029362,            0.019225,            0.012791,             0.69411,             0.66031,             0.73483,             0.43433,            0.019891,            0.007865,           0.0091823,            0.006238,            0.006238,            0.006238
                  21,             0.02797,            0.018952,             0.01167,             0.74671,             0.75391,             0.78753,             0.46589,            0.018394,           0.0075036,           0.0061586,             0.00604,             0.00604,             0.00604
                  22,            0.027614,            0.018301,             0.01211,              0.6694,             0.72269,               0.755,             0.44044,            0.018977,            0.007671,           0.0076149,            0.005842,            0.005842,            0.005842
                  23,            0.026385,            0.018607,            0.010708,             0.75345,             0.72467,              0.7847,             0.47644,            0.017962,             0.00737,           0.0070704,            0.005644,            0.005644,            0.005644
                  24,            0.026868,            0.018641,            0.010212,             0.68422,             0.75141,             0.76734,             0.47012,            0.017869,           0.0072862,           0.0066305,            0.005446,            0.005446,            0.005446
                  25,            0.026935,            0.018286,            0.011317,             0.74779,             0.77697,             0.81395,             0.50976,             0.01733,           0.0072665,           0.0061023,            0.005248,            0.005248,            0.005248
                  26,            0.027532,            0.018556,            0.011309,             0.67601,             0.74028,             0.75447,             0.45477,            0.018406,           0.0076648,           0.0061753,             0.00505,             0.00505,             0.00505
                  27,            0.028082,            0.018565,            0.011661,             0.71323,             0.76683,             0.79505,             0.47959,             0.01813,            0.007465,           0.0063598,            0.004852,            0.004852,            0.004852
                  28,            0.027624,            0.018365,            0.011218,             0.67036,             0.69821,             0.72718,             0.44413,            0.017857,            0.007879,            0.010468,            0.004654,            0.004654,            0.004654
                  29,            0.025044,            0.018496,            0.011126,             0.72776,             0.76096,             0.80005,             0.49662,            0.017016,           0.0074117,           0.0062056,            0.004456,            0.004456,            0.004456
                  30,            0.025711,            0.018635,            0.009427,             0.72705,             0.76188,             0.80116,             0.50351,            0.017304,           0.0073575,           0.0054862,            0.004258,            0.004258,            0.004258
                  31,            0.024279,            0.017431,           0.0096315,             0.74652,             0.81211,             0.83165,             0.51468,             0.01735,           0.0072652,           0.0056359,             0.00406,             0.00406,             0.00406
                  32,            0.024651,            0.017939,            0.010219,             0.77512,             0.76239,             0.82425,             0.52934,            0.016562,           0.0071081,            0.006017,            0.003862,            0.003862,            0.003862
                  33,            0.025425,            0.018228,            0.011489,             0.72338,             0.76384,             0.81111,             0.52195,            0.016462,           0.0071875,           0.0062533,            0.003664,            0.003664,            0.003664
                  34,            0.024089,            0.017417,           0.0097316,             0.76719,             0.77994,             0.82808,             0.53994,            0.016675,           0.0070786,           0.0054603,            0.003466,            0.003466,            0.003466
                  35,            0.024381,            0.017252,           0.0091604,             0.79949,             0.74885,             0.82712,             0.54588,            0.016645,           0.0070239,           0.0058417,            0.003268,            0.003268,            0.003268
                  36,            0.025027,            0.017778,           0.0091799,             0.78725,             0.77475,             0.81844,             0.53823,            0.016515,           0.0071534,            0.006179,             0.00307,             0.00307,             0.00307
                  37,            0.023479,            0.017247,           0.0080113,             0.80114,             0.80363,             0.84459,             0.54682,            0.016811,           0.0072227,           0.0049887,            0.002872,            0.002872,            0.002872
                  38,            0.024504,            0.016904,             0.00864,             0.76124,             0.79889,             0.83326,             0.52295,            0.016837,           0.0072152,            0.005275,            0.002674,            0.002674,            0.002674
                  39,            0.022711,            0.016845,           0.0081352,             0.75873,              0.7885,             0.81777,             0.53622,            0.016153,           0.0069908,           0.0055213,            0.002476,            0.002476,            0.002476
                  40,            0.022727,            0.016933,           0.0077866,             0.78047,             0.81898,             0.83149,             0.54639,            0.016518,           0.0071189,           0.0057349,            0.002278,            0.002278,            0.002278
                  41,            0.023323,            0.016785,           0.0073861,              0.7868,             0.82096,             0.85227,             0.56012,            0.016597,           0.0069595,           0.0058076,             0.00208,             0.00208,             0.00208
                  42,            0.022686,            0.016587,           0.0070504,             0.78867,             0.81467,             0.84945,              0.5637,            0.016315,           0.0070194,           0.0047597,            0.001882,            0.001882,            0.001882
                  43,            0.022694,             0.01675,           0.0072186,             0.80197,             0.83558,             0.86021,             0.55955,            0.016425,            0.007063,           0.0050359,            0.001684,            0.001684,            0.001684
                  44,            0.022338,            0.016946,           0.0074927,             0.79082,             0.81797,             0.84868,             0.56001,            0.016276,           0.0069917,           0.0047702,            0.001486,            0.001486,            0.001486
                  45,            0.022095,            0.016603,            0.007296,             0.77248,              0.8293,             0.85571,             0.56617,            0.016141,           0.0070052,           0.0050525,            0.001288,            0.001288,            0.001288
                  46,            0.021895,            0.016231,           0.0070958,             0.80801,              0.7928,             0.86566,              0.5748,            0.015866,            0.006944,            0.004853,             0.00109,             0.00109,             0.00109
                  47,             0.02166,            0.016325,           0.0074471,             0.78923,             0.81402,             0.85544,             0.57105,            0.015987,           0.0069549,           0.0051118,            0.000892,            0.000892,            0.000892
                  48,            0.020804,            0.016371,           0.0068844,             0.78776,             0.81167,              0.8506,             0.56612,            0.015831,           0.0069474,           0.0052564,            0.000694,            0.000694,            0.000694
                  49,             0.02188,            0.016093,           0.0067155,              0.7818,             0.82874,             0.85728,             0.57074,            0.015765,           0.0069427,           0.0053806,            0.000496,            0.000496,            0.000496
